x,y,lon,lat
4102055.9928676663,3055298.4725383488,6.9087499999999995,50.56791999704156
4102052.083015819,3055205.104859054,6.9087499999999995,50.56707999704138
4102582.932887766,3055182.712520523,6.916250000000001,50.56707999704138
4102579.0789856496,3055090.4560491424,6.9162500000000025,50.566249997041105
4102697.2840029374,3055085.4773495463,6.917920000000001,50.566249997041105
4102701.1358188023,3055177.7338945484,6.917919999999999,50.56707999704138
4102759.8834319953,3055175.260490502,6.918750000000004,50.56707999704138
4102756.03265301,3055083.003908924,6.91875,50.566249997041105
4102814.781335385,3055080.531134222,6.919579999999998,50.566249997041105
4102803.1859331233,3054802.6498688776,6.919580000000003,50.563749997040496
4102862.6456245347,3054800.1478682803,6.920420000000001,50.563749997040496
4102858.797068874,3054707.8912892593,6.920419999999997,50.562919997040375
4103035.763754827,3054700.448784782,6.922920000000004,50.562919997040375
4103031.872026434,3054607.0805886583,6.922920000000002,50.5620799970401
4103149.380166267,3054602.142029613,6.9245800000000015,50.5620799970401
4103145.536875971,3054509.8853057316,6.924579999999996,50.56124999703994
4103204.9999247156,3054507.387253972,6.925419999999997,50.56124999703994
4103201.157717849,3054415.1305121477,6.925419999999999,50.56041999703973
4103318.670199184,3054410.195819063,6.927080000000003,50.56041999703974
4103314.783834,3054316.827495746,6.927080000000005,50.559579997039556
4103374.2490922343,3054314.3313998724,6.9279199999999985,50.55957999703955
4103370.410076892,3054222.07458643,6.92792,50.55874999703935
4103310.9437693655,3054224.570719204,6.927080000000001,50.55874999703935
4103307.103738824,3054132.313961678,6.927080000000003,50.55791999703918
4103248.344359151,3054134.7810850786,6.926250000000002,50.55791999703918
4103244.4570486187,3054041.412856616,6.926249999999997,50.55707999703893
4103126.228331417,3054046.3789202585,6.92458,50.55707999703893
4103122.385246664,3053954.1223108727,6.924580000000003,50.55624999703874
4103063.623878044,3053956.591513796,6.923750000000002,50.556249997038734
4103059.779790649,3053864.334959927,6.9237500000000045,50.55541999703849
4103001.0174175217,3053866.804865398,6.922920000000002,50.55541999703849
4102997.1260013264,3053773.436843109,6.9229199999999995,50.55457999703829
4103055.8894236977,3053770.966900691,6.923750000000004,50.55457999703829
4103052.045404975,3053678.7103851205,6.923750000000004,50.5537499970381
4103110.8098963443,3053676.2410722645,6.92458,50.5537499970381
4103106.9669484864,3053583.9845392364,6.92458,50.55291999703794
4103166.4405278335,3053581.486116852,6.925419999999999,50.55291999703794
4103162.552375997,3053488.1180413426,6.925419999999999,50.55207999703771
4103221.319018191,3053485.6499952585,6.926249999999999,50.55207999703771
4103213.637465735,3053301.1368780937,6.926249999999999,50.5504199970373
4103272.406213584,3053298.6694251695,6.927079999999999,50.5504199970373
4103249.27607668,3052742.907265234,6.927079999999999,50.54541999703606
4103190.5010837973,3052745.3749378123,6.926249999999999,50.54541999703606
4103186.61429306,3052652.006999788,6.926250000000001,50.544579997035896
4103245.3903350756,3052649.539290309,6.927080000000003,50.544579997035896
4103237.711472221,3052465.026444994,6.927079999999998,50.5429199970355
4103297.1977903685,3052462.529608565,6.9279199999999985,50.54291999703549
4103293.313214445,3052369.1616545273,6.92792,50.54207999703528
4103410.871705069,3052364.2293630335,6.9295800000000005,50.54207999703528
4103403.199292207,3052179.716413319,6.929579999999995,50.540419997034874
4103462.688868463,3052177.2214966747,6.930420000000001,50.54041999703489
4103458.8075563223,3052083.853489866,6.930420000000001,50.53957999703468
4103930.484495117,3052064.096222788,6.937080000000001,50.53957999703468
4103926.6577409673,3051971.8394672587,6.937080000000001,50.53874999703444
4104044.9334976263,3051966.891971388,6.938750000000003,50.53874999703444
4104037.238183224,3051781.2668441124,6.938750000000002,50.53707999703403
4103978.452322049,3051783.7255151174,6.93792,50.53707999703403
4103974.626719313,3051691.4687804924,6.937919999999998,50.5362499970339
4103738.062901355,3051701.369590978,6.9345799999999995,50.536249997033906
4103730.3573147072,3051515.744947057,6.9345799999999995,50.53457999703348
4103671.5684928377,3051518.2070749993,6.933749999999998,50.5345799970335
4103667.737784834,3051425.9505806607,6.933750000000002,50.53374999703327
4103490.660092443,3051433.3707642043,6.931250000000002,50.53374999703326
4103479.112617266,3051155.490203048,6.931249999999999,50.531249997032646
4103420.319765936,3051157.9551502583,6.930420000000002,50.531249997032646
4103416.485036,3051065.6988788233,6.930420000000003,50.53041999703248
4103356.9828208666,3051068.1942394692,6.929580000000002,50.53041999703248
4103353.1008624407,3050974.826503502,6.929580000000002,50.529579997032215
4103294.3059904426,3050977.292864694,6.928750000000003,50.52957999703223
4103290.469243616,3050885.0367051223,6.92875,50.52874999703205
4103349.265152083,3050882.5703075123,6.929580000000001,50.52874999703205
4103345.4294757964,3050790.314130706,6.929579999999997,50.52791999703183
4103463.731860153,3050785.353565829,6.931250000000004,50.52791999703183
4103459.8521161037,3050691.985814237,6.9312499999999995,50.52707999703157
