ID;lon;lat
65;6.53;50.342
66;6.542;50.387
67;6.52;50.491
131;6.69;50.532
150;6.581;50.315
151;6.61;50.366
165;6.66;50.22
175;6.561;50.543
183;6.615;50.315
184;6.63;50.319
185;6.621;50.494
186;6.655;50.507
187;6.657;50.552
660;6.5;50.567
910;6.648;50.567
1078;6.695;50.567
1088;6.586;50.584
1657;6.769;50.445
1658;6.729;50.452
1659;6.735;50.451
1660;6.768;50.531
1720;7.071;50.25
1721;7.075;50.232
1722;7.05;50.267
1723;7.05;50.267
1724;7.045;50.282
1725;7.044;50.285
1726;7.034;50.385
1727;7.405;50.226
1728;7.438;50.223
1729;7.393;50.265
1730;7.4;50.302
1731;7.393;50.34
1732;7.397;50.347
1733;7.422;50.38
1734;7.422;50.38
1735;7.411;50.403
1736;7.392;50.428
1737;7.392;50.428
1738;7.399;50.431
1739;7.394;50.437
1740;7.404;50.431
1741;7.398;50.44
1742;7.405;50.438
1743;7.406;50.438
1744;7.42;50.451
1745;7.426;50.449
1791;6.772;50.278
1792;6.731;50.307
1793;6.742;50.344
1794;7.199;50.451
1795;7.215;50.455
1796;7.216;50.456
1797;7.217;50.454
1798;7.207;50.465
1799;7.211;50.468
1800;7.221;50.555
1827;7.493;50.209
1828;7.495;50.208
1833;7.497;50.295
1837;7.496;50.381
1838;6.946;50.551
1857;6.801;50.231
1858;6.803;50.272
1859;6.805;50.413
1860;6.815;50.446
1861;6.798;50.464
1862;7.16;50.336
1863;7.151;50.368
1864;7.154;50.373
1865;7.147;50.424
1866;7.146;50.444
1867;7.15;50.494
1874;7.096;50.251
1875;7.097;50.251
1876;7.115;50.418
1877;7.125;50.393
1911;7.314;50.331
1912;7.315;50.329
1913;7.316;50.329
1914;7.288;50.364
1915;7.321;50.408
1916;7.334;50.409
1917;7.336;50.41
1918;7.324;50.481
1919;7.324;50.487
1920;7.296;50.501
1921;7.335;50.502
1937;7.363;50.395
1938;7.354;50.431
1939;7.381;50.434
1974;6.878;50.237
1975;6.918;50.292
1976;6.923;50.382
2008;6.811;50.508
2009;6.82;50.508
2023;7.456;50.305
2024;7.466;50.309
2025;7.472;50.316
2026;7.471;50.339
2027;7.482;50.387
2028;7.463;50.397
2029;7.461;50.404
2030;7.448;50.417
2031;7.452;50.411
2032;7.456;50.41
2033;7.456;50.425
2034;7.456;50.426
2035;7.467;50.423
2036;7.485;50.39
2037;7.442;50.446
2038;7.444;50.445
2039;7.449;50.43
2040;7.47;50.43
2041;7.464;50.469
2042;7.477;50.464
2043;7.477;50.466
2044;7.464;50.513
2045;7.472;50.486
2046;7.473;50.489
2047;7.466;50.515
2048;7.02;50.311
2049;6.991;50.516
2050;7.029;50.556
2056;7.377;50.289
2057;7.349;50.345
2058;7.38;50.345
2059;7.383;50.349
2122;7.074;50.42
2123;7.04;50.534
2124;7.042;50.535
2125;7.044;50.533
2159;6.871;50.217
2160;6.863;50.235
2166;7.449;50.244
2167;7.446;50.261
2168;7.443;50.282
2169;7.445;50.292
