,station_id,elevation,lat,lon,original_id
102,Bleckede-Walmsburg_4,12.0,53.2401,10.8522,542
103,Bobeck_0,344.0,50.9041,11.7985,550
104,Weischlitz-Heinersgrün_9,517.0,50.3887,11.9955,551
105,Bocholt-Liedern (Wasserwerk)_2,23.0,51.8293,6.5365,554
106,Bochum_6,101.0,51.4789,7.2697,555
107,Bockhorn-Grabstede_3,11.0,53.367,7.9679,561
108,Bodenfelde-Amelith_2,258.0,51.6957,9.5135,567
109,Börfink-Thranenweier_2,585.0,49.7067,7.0973,583
110,Bogen-Pfelling_2,343.0,48.8846,12.7453,589
111,Boizenburg_3,45.0,53.3911,10.6878,591
112,Boltenhagen_4,15.0,54.0027,11.1908,596
113,Königswinter-Heiderhof_5,147.17,50.7293,7.204,603
114,Borgentreich_6,206.0,51.5677,9.2324,613
115,Borken in Westfalen_1,47.0,51.873,6.8863,617
116,Westheide-Born_6,66.0,52.3745,11.4655,622
117,Bottmersdorf-Klein Germersleben_5,87.0,52.0193,11.4059,630
118,Boxberg_3,125.5,51.4041,14.5681,633
119,Brakel_5,150.0,51.7049,9.1738,644
120,Brannenburg-Degerndorf_2,483.0,47.7241,12.1092,653
121,Braunlage_5,607.3,51.7234,10.6021,656
122,Braunschweig_5,81.44,52.2915,10.4464,662
123,Breitenbrunn-Fürbuch_1,610.0,48.1266,10.3649,677
124,Breitnau_5,999.5,47.9385,8.0761,684
125,Bremen_20,4.04,53.0451,8.7981,691
126,Bremerhaven_6,6.45,53.5332,8.5761,701
127,Bremervörde_1,10.57,53.4451,9.139,704
128,Neu Madlitz_1,46.0,52.3653,14.2474,714
129,Schönwölkau-Brinnis_3,101.0,51.5171,12.4362,721
130,Brocken_5,1134.68,51.7986,10.6183,722
131,Kail_2,290.0,50.1841,7.24,723
132,Bruchsal-Heidelsheim_3,130.0,49.1127,8.6372,731
133,Brück-Gömnigk_8,52.0,52.1692,12.7334,735
134,Bucha_2,305.33,50.87,11.5022,753
135,"Buchen, Kr. Neckar-Odenwald_5",340.0,49.5182,9.3213,755
136,Buchenbach_1,445.0,47.9625,7.9983,757
137,Rosengarten-Klecken_3,82.0,53.3629,9.9435,760
138,Osterwieck-Rimbeck_2,100.0,52.0,10.6323,775
139,Bütthard_1,262.5,49.6063,9.8834,789
140,Bordelum_4,8.0,54.6328,8.937,791
141,Burbach-Würgendorf_6,412.0,50.7556,8.1257,796
142,Burg-Blumenthal_8,39.0,52.3241,11.8339,797
143,Burgbernheim_5,330.5,49.4549,10.3241,801
144,Schlüsselfeld (Kläranlage)_5,290.0,49.745,10.6434,807
145,"Mehring, Kr. Altötting-Niederholz_2",413.0,48.187,12.8098,808
146,Burgkunstadt_2,277.5,50.1429,11.2322,812
147,Pfarrweisach-Lohr (Pegel)_2,270.0,50.1451,10.7066,814
148,Seegebiet Mansfelder Land-Dederstedt_5,161.5,51.5426,11.6947,815
149,Burgwald-Bottendorf_4,293.0,51.0306,8.8146,817
150,"Camberg, Bad_4",244.0,50.2863,8.2949,837
151,Carlow_6,27.0,53.7575,10.9288,839
152,Carlsfeld_3,895.32,50.4313,12.6114,840
153,Celle (Stadt)_8,38.0,52.6146,10.0726,848
154,Chemnitz_7,416.11,50.7913,12.872,853
155,Chieming_2,551.2,47.8843,12.5404,856
156,Chiemsee-Herrenchiemsee_2,534.5,47.8665,12.395,857
157,Lautertal-Oberlauter_14,343.79,50.3066,10.9679,867
158,Coesfeld_4,87.0,51.9618,7.1585,871
159,Zielitz_1,52.0,52.2994,11.6733,874
160,Cottbus_1,69.0,51.7759,14.3168,880
161,Creußen-Bühl_3,449.5,49.8449,11.616,885
162,Cuxhaven_5,5.0,53.8713,8.7058,891
163,Dachwig_3,170.0,51.0778,10.8619,896
164,Dahlem-Schmidtheim_8,572.5,50.4115,6.5615,902
165,Darmstadt_0,162.0,49.8809,8.6779,917
166,Dasing (Kläranlage)_4,460.0,48.395,11.0594,922
167,Deggenhausertal-Azenweiler_1,712.0,47.8007,9.4108,931
168,"Deisenhofen, Kreis München_2",585.0,48.0368,11.5777,933
169,Delbrück_0,88.0,51.7835,8.5658,934
170,Densborn_8,308.0,50.122,6.599,942
171,Deuselbach_6,480.5,49.7619,7.0542,953
172,Diemelstadt-Rhoden_7,258.0,51.4743,9.0039,961
173,Stadtilm-Dienstedt_4,326.0,50.8018,11.1692,962
174,Diepholz_4,37.7,52.5881,8.3424,963
175,Diesdorf_2,65.0,52.7522,10.8831,966
176,Dietenhofen_1,405.0,49.4158,10.6734,970
177,Südharz-Dietersdorf_2,440.0,51.5307,11.0457,974
178,Holzheim bei Diez_6,155.0,50.3574,8.0485,978
179,Dillenburg_6,314.0,50.7364,8.2672,979
180,Dillingen/Donau-Fristingen_2,419.0,48.5562,10.5599,983
181,Dinkelsbühl-Oberwinstetten_2,492.0,49.0504,10.2892,985
182,Dinklage_4,23.0,52.6746,8.114,988
183,Dinslaken_8,46.0,51.5765,6.7849,989
184,Dippoldiswalde-Reinberg_4,358.5,50.9116,13.7087,991
185,Doberlug-Kirchhain_5,96.8,51.6451,13.5747,1001
186,Dollart-Kanalpolder_3,2.0,53.2289,7.2191,1014
187,Dorfen (Kläranlage)_3,430.0,48.2746,12.1616,1023
188,Dormagen-Zons_6,37.0,51.1157,6.851,1024
189,Dornum_1,1.0,53.646,7.4302,1030
190,Dransfeld-Ossenfeld_2,317.0,51.5263,9.7978,1039
191,Drensteinfurt_6,72.0,51.7585,7.7528,1046
192,Dresden-Klotzsche_7,227.57,51.1278,13.7543,1048
193,Dresden-Hosterwitz_5,112.0,51.0221,13.847,1050
194,Dresden-Strehlen_3,120.0,51.0248,13.775,1051
195,Drewitz bei Burg_2,80.0,52.2174,12.1641,1052
196,Driedorf_9,482.0,50.6316,8.1813,1055
197,Drochtersen_2,2.0,53.7118,9.3791,1056
198,Düben_4,95.0,51.9265,12.3852,1067
199,"Dürkheim, Bad_10",107.0,49.4719,8.1929,1072
200,Düsseldorf_5,36.6,51.296,6.7686,1078
201,Durbach-Ebersweier_1,196.5,48.5017,7.9943,1089
202,Eberbach_7,131.0,49.4593,8.9595,1093
203,Eberfing_3,611.0,47.7958,11.1991,1094
