;snw_dth;snw_lpt;snw_aim;snw_pim;snw_mlt;sl0_mse;sl1_mse;sl0_prf;sl0_arf;sl1_etn;urr_dth;lrr_dth;urr_rnf;urr_pln;lrr_rnf;rnf_sfc;rnf_gnd;mod_bal
2001-01-01;25.369528;3.099867;3.703249;3.927224;7.630473;16.249765;196.904205;10.730339;0.024843;0.211534;3.860438;1.650816;1.606893;0.657512;0.146696;1.399759;0.353829;0.000000
2001-01-02;0.000000;6.431726;14.162505;11.207023;25.369528;43.753754;196.822037;31.801254;3.978498;0.400942;6.278277;1.891490;1.107557;0.453102;0.212428;1.054251;0.265734;-0.000006
2001-01-03;0.000000;1.194395;0.000000;0.000000;0.000000;43.462486;196.820648;1.194395;1.169033;0.318019;5.080081;2.335318;1.680004;0.687226;0.243398;1.535798;0.387604;-0.000002
2001-01-04;0.000000;6.129237;0.000000;0.000000;0.000000;43.393517;196.808517;6.129237;5.881781;0.328548;8.887472;2.636945;1.472252;0.602137;0.300510;1.415967;0.356796;0.000009
2001-01-05;0.000000;21.276178;0.000000;0.000000;0.000000;43.752056;196.756180;21.276178;20.597174;0.372807;25.523586;3.447309;2.811371;1.149688;0.339324;2.515414;0.635280;-0.000002
2001-01-06;0.000000;0.582020;0.000000;0.000000;0.000000;43.445194;196.712631;0.582020;0.569596;0.362831;15.219321;5.519413;6.153696;2.515706;0.443602;7.469949;1.331808;0.000002
2001-01-07;0.000000;0.393747;0.000000;0.000000;0.000000;43.146164;196.777328;0.393747;0.377406;0.250676;9.939760;6.449774;4.016364;1.640603;0.710242;3.774764;0.951841;-0.000001
2001-01-08;0.000000;0.476080;0.000000;0.000000;0.000000;42.863453;196.838867;0.476080;0.447098;0.250159;6.686215;6.692775;2.627680;1.072962;0.829961;2.763184;0.694457;-0.000004
2001-01-09;0.000000;0.055849;0.000000;0.000000;0.000000;42.560326;196.914261;0.055849;0.051439;0.232147;4.256428;6.550900;1.761870;0.719357;0.861231;2.097632;0.525469;-0.000004
2001-01-10;0.000000;6.072149;0.000000;0.000000;0.000000;42.847427;196.962585;6.072149;5.476599;0.260116;7.978137;6.216723;1.246092;0.508797;0.842974;1.671509;0.417558;0.000008
2001-01-11;0.000000;0.094835;0.000000;0.000000;0.000000;42.549652;196.998306;0.094835;0.087251;0.269641;5.103740;6.275506;2.102893;0.858754;0.799972;2.320445;0.582420;-0.000003
2001-01-12;0.002805;0.000000;0.000000;0.000000;0.000000;42.250675;197.167999;0.000000;0.000000;0.129287;3.210938;6.016794;1.343978;0.548825;0.807536;1.721115;0.430399;-0.000004
