;0
snw_dth;33.000000
snw_ast;-0.620000
snw_amt;-0.540000
snw_amf;1.900000
snw_pmf;0.650000
sl0_mse;5.660000
sl1_mse;197.000000
sl0_fcy;44.072521
sl0_bt0;2.956647
sl1_pwp;209.408936
sl1_fcy;228.286942
sl1_bt0;2.500000
urr_dth;6.100000
lrr_dth;1.140000
urr_rsr;0.913159
urr_tdh;18.529806
urr_tdr;0.312989
urr_cst;0.263332
urr_dro;0.797729
urr_ulc;0.146333
lrr_tdh;2551.578125
lrr_cst;0.128681
lrr_dro;0.803659
